cnpj_raiz,qtd_estabelecimentos,qtd_ativos,qtd_inativos,dt_inicio_min,dt_inicio_max,dt_situacao_max,idade_empresa_dias
00000001,1,1,0,1994-06-03,1994-06-03,2022-08-18,11543
00000003,1,0,1,1994-06-07,1994-06-07,2008-12-31,11539
00000027,1,0,1,1994-06-10,1994-06-10,1997-05-31,11536
00000040,1,0,1,1994-06-13,1994-06-13,2021-01-19,11533
00000056,1,0,1,1994-06-14,1994-06-14,2014-12-03,11532
00000064,1,0,1,1994-06-17,1994-06-17,2008-06-11,11529
00000070,1,0,1,1994-06-06,1994-06-06,2019-03-21,11540
00000099,1,0,1,1994-03-27,1994-03-27,2018-10-04,11611
00000104,1,1,0,1994-06-28,1994-06-28,2019-10-07,11518
00000134,1,0,1,1994-07-01,1994-07-01,2008-12-31,11515
00000142,1,0,1,1994-07-04,1994-07-04,2013-07-01,11512
00000149,1,0,1,1994-07-05,1994-07-05,2020-09-01,11511
00000175,1,0,1,1994-07-11,1994-07-11,1998-05-08,11505
00000208,24,19,5,1982-02-16,2025-03-18,2025-08-22,16033
00000215,1,0,1,1994-07-21,1994-07-21,2021-02-26,11495
00000223,1,0,1,1994-07-25,1994-07-25,2018-09-06,11491
00000256,1,0,1,1994-08-03,1994-08-03,2008-12-31,11482
00000263,1,0,1,1994-08-05,1994-08-05,2009-05-05,11480
00000289,1,0,1,1994-08-11,1994-08-11,2008-12-31,11474
00000389,1,0,1,1994-09-14,1994-09-14,2008-12-31,11440
00000428,1,0,1,1994-09-26,1994-09-26,2018-10-04,11428
00000453,1,0,1,1994-10-05,1994-10-05,2008-12-31,11419
00000468,1,0,1,1994-10-14,1994-10-14,2022-06-07,11410
00000469,1,0,1,1994-10-14,1994-10-14,2008-12-31,11410
00000494,1,0,1,1994-10-20,1994-10-20,2008-12-31,11404
00000512,1,0,1,1994-10-27,1994-10-27,1996-08-31,11397
00000518,1,0,1,1998-04-01,1998-04-01,2018-09-04,10145
00000570,1,0,1,1977-08-05,1977-08-05,1995-01-25,17689
00000598,1,0,1,1994-11-21,1994-11-21,2008-12-31,11372
00000615,1,0,1,1994-11-17,1994-11-17,2020-02-19,11376
